UF,Classe,month,seasonal_factor,var
CE,rural,5,0.8904392681082175,2419748961.1250005
CE,rural,6,0.9479041651737076,2679339604.4999995
CE,rural,7,0.9503167495177346,2812800008.0
CE,rural,8,0.9883825902636904,3024980871.125
CE,rural,9,1.0469486900997398,3459331431.125
CE,rural,10,1.0794951013246294,3674224936.805
CE,rural,11,1.2002651830428188,4631790628.125
CE,rural,12,1.1253397937229206,4003621541.12
DF,comercial,1,0.9066031708144188,78012540.5
DF,comercial,2,1.0114353662388167,492980000.0
DF,comercial,3,1.0334706780443006,735783160.5
DF,comercial,4,1.0147537619400389,153685512.0
DF,comercial,5,0.9795787675070844,80899200.0
DF,comercial,6,0.95239120974444,63506450.0
DF,comercial,7,0.9064809141306894,60544008.0
DF,comercial,8,0.9714981828872662,164275938.0
DF,comercial,9,1.0062656550411233,134152200.0
DF,comercial,10,1.0258209026909568,87662040.5
DF,comercial,11,1.1374121462015283,241230612.5
DF,comercial,12,1.0542892447593362,72589200.5
DF,industrial,1,0.8594981093386909,1322625312.0
DF,industrial,2,0.8360052140182225,715932800.0
DF,industrial,3,0.9488386884127225,928158612.5
DF,industrial,4,0.9287643869967552,907933884.5
DF,industrial,5,0.9528535486959157,964263612.5
DF,industrial,6,1.0278439835894242,1145098368.0
DF,industrial,7,1.034045153927822,1182146688.0
DF,industrial,8,1.0737962458406278,1289304200.0
DF,industrial,9,1.0762409379932654,1307803224.5
DF,industrial,10,1.086814728442072,1313640024.5
DF,industrial,11,1.120901289757303,1449588168.0
DF,industrial,12,1.0543977129871789,1257812168.0
DF,outros,1,1.0560735266167345,2110810338.0
DF,outros,2,1.071198465237997,2218912344.5
DF,outros,3,1.0790897375621344,2335792900.5
DF,outros,4,1.1013230841896635,2270503884.5
DF,outros,5,1.0799665455981495,2204812012.5
DF,outros,6,0.9964088274040784,1730837448.0
DF,outros,7,0.90542433638114,1420951395.125
DF,outros,8,0.9023085363960144,1344159400.5
DF,outros,9,0.9425999532890956,1478537820.5
DF,outros,10,0.9715659330503134,1694551328.0
DF,outros,11,0.9756472656941462,1630262100.5
DF,outros,12,0.918393788580532,1408637042.0
DF,residencial,1,0.9220396006201894,
DF,residencial,2,1.0060008641983866,
DF,residencial,3,1.0826233735624615,
DF,residencial,4,0.982833877501034,
DF,residencial,5,0.997127811244284,
DF,residencial,6,0.9311252371346508,
DF,residencial,7,0.9002728925921561,
DF,residencial,8,0.998930150125586,
DF,residencial,9,1.0494557167647556,
DF,residencial,10,1.043022753373031,
DF,residencial,11,1.018131991284074,
DF,residencial,12,1.0684357315993909,
DF,rural,1,0.643044230294045,15103008.0
DF,rural,2,0.7066963182604399,19071488.0
DF,rural,3,0.8930071658018285,33366280.5
DF,rural,4,1.047393130714109,46070400.5
DF,rural,5,0.9179145045712874,34089024.5
DF,rural,6,1.0070669631826044,42753504.5
DF,rural,7,1.3339263652087967,79153362.0
DF,rural,8,1.1882382011366444,61073352.0
DF,rural,9,1.15156906350383,57170124.5
DF,rural,10,1.0852483320978503,50561568.0
DF,rural,11,1.091771682727947,50360648.0
DF,rural,12,0.9341240425006178,35003344.5
ES,comercial,1,1.0886262810454923,642302976.9799998
ES,comercial,2,1.0955277247166828,873778847.2199996
ES,comercial,3,1.1039064940948655,645942435.9200003
ES,comercial,4,1.0266983424880731,611782710.125
ES,comercial,5,0.9436726377551148,194385959.6450002
ES,comercial,6,0.9109910829570652,255323503.125
ES,comercial,7,0.8813916961077091,135605746.125
ES,comercial,8,0.913780895923743,177064207.4449999
ES,comercial,9,0.9097252480881268,178886721.0050003
ES,comercial,10,0.9690365058845296,133762639.21999983
ES,comercial,11,1.0276811528531458,313077766.8049996
ES,comercial,12,1.1289619380854523,354711612.5
ES,industrial,1,0.971570120484464,63800135029.62
ES,industrial,2,0.934703631047435,58343059621.125
ES,industrial,3,1.017322818197952,70511578215.125
ES,industrial,4,0.9999787002059748,68692972233.60499
ES,industrial,5,1.079749553896785,82356624230.72
ES,industrial,6,0.9672891086011528,64715067847.99999
ES,industrial,7,1.0153799315807852,72163752550.57999
ES,industrial,8,1.0432516578065554,76881674426.445
ES,industrial,9,1.000485454378884,70757840442.245
ES,industrial,10,0.9644750686322128,64304223924.02
ES,industrial,11,0.9898233860553948,68474903264.645
ES,industrial,12,1.015970569112404,72257011250.0
ES,outros,1,1.954639385196466,
ES,outros,2,1.0113687704923005,2318614323.92
ES,outros,3,1.10976130047089,2793400038.005
ES,outros,4,0.987074501864576,2205157332.02
ES,outros,5,0.9218346699235394,1861219869.62
ES,outros,6,0.9097320577879808,1829187370.125
ES,outros,7,0.8720158364742978,1677415328.405
ES,outros,8,0.8825824334583784,1723931121.125
ES,outros,9,0.9063721173986607,1816507675.125
ES,outros,10,0.9452592720017314,1968881651.28
ES,outros,11,0.9458721939897125,1964735955.125
ES,outros,12,1.0308071535397003,2325074432.0
ES,residencial,1,1.187913337078487,
ES,residencial,2,1.1549436012719023,
ES,residencial,3,1.1642610070208377,
ES,residencial,4,1.027526168014857,
ES,residencial,5,0.9479828447090026,
ES,residencial,6,0.8412875500109264,
ES,residencial,7,0.8407138383167342,
ES,residencial,8,0.8767393265242133,
ES,residencial,9,0.8863445716260062,
ES,residencial,10,0.9047066241926952,
ES,residencial,11,1.0290060163506192,
ES,residencial,12,1.1385751148837178,
ES,rural,1,0.845838061853276,3971677375.125
ES,rural,2,1.3130214016510462,9664573129.245
ES,rural,3,1.1632312154356297,7549083662.580001
ES,rural,4,0.8355724686950154,3826016540.405
ES,rural,5,0.9049193108493196,4482406839.645
ES,rural,6,0.904076278853038,4468083339.845
ES,rural,7,0.9742596251009978,5125133270.48
ES,rural,8,1.3025394551486071,9374405815.845
ES,rural,9,1.1570035963303549,7374735483.380001
ES,rural,10,0.8512618163780258,3924882540.605
ES,rural,11,0.8345196112571815,3774327844.500001
ES,rural,12,0.913757158447506,4555160352.0
GO,comercial,1,0.9459460801577696,4746507055.205
GO,comercial,2,0.9806765632237282,4357848746.205
GO,comercial,3,1.0205029692300158,4705363339.6050005
GO,comercial,4,1.0608688015029155,4878368843.219999
GO,comercial,5,0.9985415043235404,4474598920.02
GO,comercial,6,0.9524628168313848,4046499756.605001
GO,comercial,7,0.9136182834735664,3870345776.7199984
GO,comercial,8,0.9310676521354904,3116819685.78
GO,comercial,9,0.9853008289735392,4402278411.38
GO,comercial,10,1.0690435436761472,6110198003.405
GO,comercial,11,1.094797350501759,5484762480.125002
GO,comercial,12,1.0471736059701442,4972647510.605002
GO,industrial,1,0.9694261045452652,108254929879.22
GO,industrial,2,0.978188718083379,108727357728.08002
GO,industrial,3,0.9872212512456882,110272317517.61998
GO,industrial,4,1.015449844032603,116219991836.045
GO,industrial,5,0.9717170379573062,106756375567.68
GO,industrial,6,1.011876980371947,117396047181.125
GO,industrial,7,0.9773011411575784,109844532049.99998
GO,industrial,8,1.0398503149070115,124833755311.37996
GO,industrial,9,0.9853248591227736,111291816935.645
GO,industrial,10,1.0356637412373042,120689269774.205
GO,industrial,11,1.0226440666624406,123883255441.125
GO,industrial,12,1.0053359406767042,117081637388.81998
GO,outros,1,0.9507386693958,5280702849.845
GO,outros,2,0.9588828946776152,5347961962.6050005
GO,outros,3,0.9795750909633604,5917055477.045
GO,outros,4,1.0178032759916094,6109811098.879999
GO,outros,5,0.992676020988958,5660011849.68
GO,outros,6,0.9667360514396596,5153825253.780001
GO,outros,7,0.945527190739846,4874438342.48
GO,outros,8,0.939071732199882,4580135053.245
GO,outros,9,1.008569500822826,5312217505.004999
GO,outros,10,1.0642746068988576,6223084546.879999
GO,outros,11,1.0814939073985788,6596869248.0
GO,outros,12,1.0946510584830074,7328342899.519999
GO,residencial,1,0.9586910598731408,188710073816.045
GO,residencial,2,0.9593902326837804,188943658702.58
GO,residencial,3,1.0236565559965944,215053674390.24496
GO,residencial,4,1.0016454849802736,205886108173.52
GO,residencial,5,0.9653150240173244,191204703867.38
GO,residencial,6,0.9065356703672992,168588185713.605
GO,residencial,7,0.9046530059769444,167884801804.84503
GO,residencial,8,0.8838464906620603,160251248772.18002
GO,residencial,9,1.005967530696569,207584955917.12003
GO,residencial,10,1.1523182398715868,272434925704.5
GO,residencial,11,1.1346401367087504,264089394716.40497
GO,residencial,12,1.1033405681656756,249724600387.91995
GO,rural,1,0.7140061052525546,6957434148.845
GO,rural,2,0.6716209517483586,5996176246.080001
GO,rural,3,0.8015154825826861,8485774785.004999
GO,rural,4,1.005706301830932,13113852665.045002
GO,rural,5,0.949262253581184,11726389224.5
GO,rural,6,1.2232192729364475,19691955367.22
GO,rural,7,1.124978556635287,16543986900.5
GO,rural,8,1.078935818352642,15102768123.38
GO,rural,9,1.0741944205974454,14577900775.245005
GO,rural,10,1.0531975322994822,13991683946.645
GO,rural,11,1.272088559108138,20991800100.5
GO,rural,12,1.0312747450748423,13979073703.804998
MA,comercial,1,0.9343102824732142,54708938.04499992
MA,comercial,2,0.8900157920161019,81302926.44499996
MA,comercial,3,0.9170384816347962,19412057.404999964
MA,comercial,4,0.9505731590949748,41479653.619999975
MA,comercial,5,0.9931837716891864,29242128.125
