,Coluna1,DataExcel,SetorIndustrial,UF,Regiao,Consumo,DataVersao
173,20251201,2025-12-01,12 - FABRICAÇÃO DE PRODUTOS DO FUMO,SP,Sudeste,"297,613",23/02/2026
174,20251201,2025-12-01,13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS,AC,Norte,"1,906",23/02/2026
175,20251201,2025-12-01,13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS,AL,Nordeste,"288,207",23/02/2026
176,20251201,2025-12-01,13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS,AM,Norte,659,23/02/2026
177,20251201,2025-12-01,13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS,AP,Norte,11,23/02/2026
178,20251201,2025-12-01,13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS,BA,Nordeste,9165,23/02/2026
179,20251201,2025-12-01,13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS,CE,Nordeste,"47598,704",23/02/2026
180,20251201,2025-12-01,13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS,DF,Centro-Oeste,"3,889",23/02/2026
181,20251201,2025-12-01,13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS,ES,Sudeste,"251,55",23/02/2026
182,20251201,2025-12-01,13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS,GO,Centro-Oeste,"809,623",23/02/2026
183,20251201,2025-12-01,13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS,MA,Nordeste,"111,216",23/02/2026
184,20251201,2025-12-01,13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS,MG,Sudeste,"32041,004",23/02/2026
185,20251201,2025-12-01,13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS,MS,Centro-Oeste,"3902,528",23/02/2026
186,20251201,2025-12-01,13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS,MT,Centro-Oeste,"9023,922",23/02/2026
187,20251201,2025-12-01,13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS,PA,Norte,"864,7",23/02/2026
188,20251201,2025-12-01,13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS,PB,Nordeste,"26099,363",23/02/2026
189,20251201,2025-12-01,13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS,PE,Nordeste,"9905,983",23/02/2026
190,20251201,2025-12-01,13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS,PI,Nordeste,"10,76",23/02/2026
191,20251201,2025-12-01,13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS,PR,Sul,"23264,335",23/02/2026
192,20251201,2025-12-01,13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS,RJ,Sudeste,"2656,822",23/02/2026
193,20251201,2025-12-01,13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS,RN,Nordeste,5703,23/02/2026
194,20251201,2025-12-01,13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS,RO,Norte,"2,273",23/02/2026
195,20251201,2025-12-01,13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS,RS,Sul,"10241,647",23/02/2026
196,20251201,2025-12-01,13 - FABRICAÇÃO DE PRODUTOS TÊXTEIS,SC,Sul,"100235,376",23/02/2026
